year,continent,income
1940,asia,2407.25
1940,europe,5133.020833333333
1941,africa,1459.3333333333333
1941,americas,3975.7
1941,asia,2475.65
1941,europe,5112.0625
1942,africa,1476.5
1942,americas,4044.2
1942,asia,2584.6833333333334
1942,europe,5096.020833333333
1943,africa,1494.6851851851852
1943,americas,4171.875
1943,asia,2655.55
1943,europe,5086.229166666667
1944,africa,1514.7962962962963
1944,americas,4343.25
1944,asia,2700.9166666666665
1944,europe,4982.125
1945,africa,1534.5925925925926
1945,americas,4408.2
1945,asia,2712.6666666666665
1945,europe,4882.083333333333
1946,africa,1552.3333333333333
1946,americas,4480.125
1946,asia,2819.766666666667
1946,europe,5140.229166666667
1947,africa,1567.6296296296296
1947,americas,4609.15
1947,asia,3011.35
1947,europe,5452.25
1948,africa,1596.2777777777778
1948,americas,4733.175
1948,asia,3190.0833333333335
1948,europe,5799.625
1949,africa,1618.9814814814815
1949,americas,4788.175
1949,asia,3433.366666666667
1949,europe,6061.395833333333
1950,africa,1652.9074074074074
1950,americas,4885.75
1950,asia,3707.983333333333
1950,europe,6304.4375
1951,africa,1703.2962962962963
1951,americas,5040.25
1951,asia,3772.7833333333333
1951,europe,6482.666666666667
1952,africa,1734.2222222222222
1952,americas,5176.15
1952,asia,3896.3166666666666
1952,europe,6598.541666666667
1953,africa,1762.648148148148
1953,americas,5265.55
1953,asia,4096.0
1953,europe,6891.458333333333
1954,africa,1804.8703703703704
1954,americas,5364.675
1954,asia,4311.816666666667
1954,europe,7152.208333333333
1955,africa,1841.8333333333333
1955,americas,5555.275
1955,asia,4459.9
1955,europe,7522.520833333333
1956,africa,1910.5740740740741
1956,americas,5740.375
1956,asia,4669.133333333333
1956,europe,7796.833333333333
1957,africa,1938.2037037037037
1957,americas,5944.95
1957,asia,4824.216666666666
1957,europe,8140.145833333333
1958,africa,1968.7407407407406
1958,americas,6012.775
1958,asia,5008.65
1958,europe,8357.666666666666
1959,africa,2029.148148148148
1959,americas,6059.525
1959,asia,5252.7
1959,europe,8631.75
1960,africa,2144.3518518518517
1960,americas,6231.85
1960,asia,5522.083333333333
1960,europe,9092.854166666666
1961,africa,2175.8518518518517
1961,americas,6364.8
1961,asia,5822.966666666666
